,Type
1,"['动画', '喜剧', '奇幻']"
2,"['剧情', '喜剧']"
3,"['剧情', '犯罪']"
4,"['剧情', '爱情', '音乐']"
5,"['剧情', '喜剧', '传记']"
6,"['剧情', '犯罪']"
7,"['战争', '剧情', '爱情']"
8,"['剧情', '爱情']"
9,"['剧情', '动作', '犯罪']"
10,"['剧情', '喜剧']"
11,"['动作', '悬疑', '惊悚', '科幻']"
12,['爱情']
13,"['剧情', '历史', '战争']"
14,['剧情']
15,"['剧情', '爱情']"
16,"['剧情', '爱情']"
17,"['动画', '冒险', '奇幻', '家庭']"
18,"['剧情', '科幻', '冒险']"
19,['剧情']
20,"['剧情', '惊悚', '犯罪']"
21,"['剧情', '奇幻', '冒险']"
22,"['喜剧', '动作', '家庭']"
23,"['剧情', '爱情']"
24,"['动画', '冒险', '家庭']"
25,['剧情']
26,"['剧情', '惊悚', '犯罪']"
27,['剧情']
28,"['剧情', '喜剧', '音乐']"
29,"['剧情', '家庭', '传记']"
30,"['剧情', '家庭', '历史']"
31,"['剧情', '歌舞']"
32,"['动画', '冒险', '奇幻', '家庭']"
33,['剧情']
34,"['剧情', '爱情', '灾难']"
35,"['剧情', '犯罪']"
36,"['爱情', '动画', '奇幻']"
37,"['犯罪', '悬疑', '惊悚']"
38,"['爱情', '剧情']"
39,['剧情']
40,"['剧情', '喜剧', '冒险']"
41,['剧情']
42,"['剧情', '犯罪']"
43,"['剧情', '爱情', '战争']"
44,"['动作', '冒险', '科幻']"
45,['剧情']
46,"['剧情', '爱情', '家庭']"
47,"['喜剧', '科幻', '动画']"
48,"['剧情', '悬疑']"
49,"['剧情', '爱情', '奇幻']"
50,"['剧情', '传记']"
51,"['剧情', '动作', '悬疑', '惊悚']"
52,['剧情']
53,"['剧情', '爱情', '历史', '战争']"
54,"['剧情', '家庭']"
55,"['剧情', '家庭', '冒险']"
56,['爱情']
57,['爱情']
58,"['剧情', '科幻', '悬疑', '惊悚']"
59,"['剧情', '喜剧', '犯罪']"
60,"['剧情', '喜剧', '爱情']"
61,"['剧情', '喜剧']"
62,"['剧情', '喜剧', '动画', '冒险']"
63,"['剧情', '喜剧', '冒险']"
64,"['动作', '冒险', '奇幻']"
65,"['剧情', '悬疑', '惊悚', '犯罪']"
66,['剧情']
67,"['剧情', '悬疑', '惊悚', '犯罪']"
68,"['剧情', '喜剧', '动作', '西部']"
69,"['剧情', '爱情']"
70,"['剧情', '战争']"
71,"['动作', '科幻', '冒险']"
72,['剧情']
73,"['动画', '动作', '冒险']"
74,"['动画', '喜剧', '冒险']"
75,['剧情']
76,"['喜剧', '爱情', '动作', '奇幻']"
77,"['剧情', '悬疑', '犯罪']"
78,['剧情']
79,"['动画', '奇幻', '冒险']"
80,"['剧情', '犯罪']"
81,"['剧情', '悬疑', '爱情']"
82,"['剧情', '爱情', '奇幻']"
83,"['剧情', '悬疑']"
84,"['剧情', '爱情', '家庭']"
85,"['惊悚', '剧情', '犯罪', '喜剧']"
86,"['喜剧', '爱情', '奇幻']"
87,"['动作', '惊悚', '灾难']"
88,"['剧情', '音乐', '传记']"
89,"['剧情', '音乐', '传记', '战争']"
90,['奇幻']
91,"['剧情', '传记', '犯罪']"
92,"['剧情', '战争']"
93,"['剧情', '悬疑', '犯罪']"
94,"['剧情', '战争', '传记']"
95,"['剧情', '家庭']"
96,"['剧情', '家庭']"
97,"['剧情', '动作', '科幻', '惊悚']"
98,['纪录片']
99,"['剧情', '喜剧', '爱情']"
100,"['剧情', '悬疑', '惊悚']"
